,zip_code,region,province,latitude,longitude
0,1000,Brussels-Capital,Brussels,50.85183733539474,4.354578365131578
1,1020,Brussels-Capital,Brussels,50.8854116325688,4.351191279357798
2,1030,Brussels-Capital,Brussels,50.861969770777485,4.384458297855228
3,1040,Brussels-Capital,Brussels,50.835354961349694,4.394550309815951
4,1050,Brussels-Capital,Brussels,50.823843985,4.374082861136364
5,1060,Brussels-Capital,Brussels,50.82869438609272,4.344674448344371
6,1070,Brussels-Capital,Brussels,50.83414388329298,4.304081287893462
7,1080,Brussels-Capital,Brussels,50.8561305192429,4.318558316403785
8,1081,Brussels-Capital,Brussels,50.8628185479452,4.324543654794521
9,1082,Brussels-Capital,Brussels,50.86480381639344,4.292604714754098
10,1083,Brussels-Capital,Brussels,50.87274547236842,4.309130380263158
11,1090,Brussels-Capital,Brussels,50.87989806331361,4.323965414201183
12,1120,Brussels-Capital,Brussels,50.89241872647059,4.3813220607843135
13,1130,Brussels-Capital,Brussels,50.891568983333336,4.416380330952381
14,1140,Brussels-Capital,Brussels,50.86757531705069,4.407856711520737
15,1150,Brussels-Capital,Brussels,50.83402780338164,4.435257683091788
16,1160,Brussels-Capital,Brussels,50.81820626258504,4.414053780272109
17,1170,Brussels-Capital,Brussels,50.80524389024391,4.409370956097561
18,1180,Brussels-Capital,Brussels,50.79775685818477,4.345100046839546
19,1190,Brussels-Capital,Brussels,50.81619944069767,4.329249836046512
20,1200,Brussels-Capital,Brussels,50.83668878552632,4.418685626842105
21,1210,Brussels-Capital,Brussels,50.85241924328359,4.370713341791045
22,1300,Wallonia,Walloon Brabant,50.71387674910714,4.604440703571428
23,1301,Wallonia,Walloon Brabant,50.71054742105263,4.590685294736842
24,1310,Wallonia,Walloon Brabant,50.732652774193554,4.483635241935484
25,1315,Wallonia,Walloon Brabant,50.68694977777778,4.807192177777778
26,1320,Wallonia,Walloon Brabant,50.77198945,4.7781490681818175
27,1325,Wallonia,Walloon Brabant,50.68627707592592,4.69188367962963
28,1330,Wallonia,Walloon Brabant,50.71266257179487,4.525454187179487
29,1331,Wallonia,Walloon Brabant,50.72951558,4.546425340000001
30,1332,Wallonia,Walloon Brabant,50.72121605454545,4.504699681818182
31,1340,Wallonia,Walloon Brabant,50.67089254090909,4.562862927272727
32,1341,Wallonia,Walloon Brabant,50.65619395714286,4.550112571428572
33,1342,Wallonia,Walloon Brabant,50.6825521,4.560861500000001
34,1348,Wallonia,Walloon Brabant,50.66852838444444,4.610649822222222
35,1350,Wallonia,Walloon Brabant,50.694366282,4.976425238
36,1357,Wallonia,Walloon Brabant,50.74516157586207,4.986233475862068
37,1360,Wallonia,Walloon Brabant,50.624857684615385,4.820690346153846
38,1367,Wallonia,Walloon Brabant,50.6700561,4.89756423125
39,1370,Wallonia,Walloon Brabant,50.72516142183908,4.859705002298851
40,1380,Wallonia,Walloon Brabant,50.692868286666666,4.471302866666666
41,1390,Wallonia,Walloon Brabant,50.745738148,4.687723736
42,1400,Wallonia,Walloon Brabant,50.58961715905512,4.326126269291338
43,1401,Wallonia,Walloon Brabant,50.60874075,4.35316185
44,1402,Wallonia,Walloon Brabant,50.5942667,4.3723541
45,1404,Wallonia,Walloon Brabant,,
46,1410,Wallonia,Walloon Brabant,50.711231242857146,4.39459342605042
47,1420,Wallonia,Walloon Brabant,50.68445684831933,4.371316505462184
48,1421,Wallonia,Walloon Brabant,50.65403702,4.342406800000001
49,1428,Wallonia,Walloon Brabant,50.64035728947368,4.362690889473685
50,1430,Wallonia,Walloon Brabant,50.67294712380952,4.132008890476191
51,1435,Wallonia,Walloon Brabant,50.634313228,4.6197903
52,1440,Wallonia,Walloon Brabant,50.68311395,4.282431761111111
53,1450,Wallonia,Walloon Brabant,50.59006437575758,4.638627178787878
54,1457,Wallonia,Walloon Brabant,50.6258984,4.697997554545455
55,1460,Wallonia,Walloon Brabant,50.65061553333334,4.242569241666667
56,1461,Wallonia,Walloon Brabant,50.6528103,4.3018892
57,1470,Wallonia,Walloon Brabant,50.60688553384615,4.454335543076923
58,1471,Wallonia,Walloon Brabant,50.587895,4.4429673
59,1472,Wallonia,Walloon Brabant,50.610455650000006,4.41622995
60,1473,Wallonia,Walloon Brabant,50.6313463,4.4496254
61,1474,Wallonia,Walloon Brabant,50.6503033,4.4832449
62,1476,Wallonia,Walloon Brabant,50.58008305,4.41809555
63,1480,Wallonia,Walloon Brabant,50.68455578284024,4.197955556804734
64,1490,Wallonia,Walloon Brabant,50.641174496875,4.555273678125
65,1495,Wallonia,Walloon Brabant,50.55626469444445,4.523564205555555
66,1500,Flanders,Flemish Brabant,50.734071171291866,4.2348097215311
67,1501,Flanders,Flemish Brabant,50.74050836111111,4.260907411111111
68,1502,Flanders,Flemish Brabant,50.71445567083333,4.21863675
69,1540,Flanders,Flemish Brabant,50.727233913157896,4.0279749763157895
70,1541,Flanders,Flemish Brabant,50.69687846666667,4.035554566666667
71,1547,Flanders,Flemish Brabant,50.718121725,3.937090725
72,1560,Flanders,Flemish Brabant,50.76801082,4.47226254
73,1570,Flanders,Flemish Brabant,50.75153691578947,3.9858906245614034
74,1600,Flanders,Flemish Brabant,50.78698871595744,4.262515974468085
75,1601,Flanders,Flemish Brabant,50.786355945,4.29338735
76,1602,Flanders,Flemish Brabant,50.80694902222222,4.2315499333333335
77,1620,Flanders,Flemish Brabant,50.78775368181818,4.3150387
78,1630,Flanders,Flemish Brabant,50.77075803571428,4.3364003
79,1640,Flanders,Flemish Brabant,50.7457121880597,4.363219488059702
